,Linked Page,Directory Page,University,Entity,Maybe Uni
Charles Lipson,https://political-science.uchicago.edu/directory/charles-lipson,https://socialsciences.uchicago.edu/directory/charles-lipson,D Harvard,"[[('Harvard', 'ORG')]]",Harvard
Gerald N. Rosenberg,https://political-science.uchicago.edu/directory/gerald-n-rosenberg,https://socialsciences.uchicago.edu/directory/gerald-n-rosenberg,"Rosenberg is trained as both a political scientist and a lawyer. He earned a master's degree in Politics and Philosophy from Oxford University, a law degree from the University of Michigan, and a doctorate in Political Science from Yale University. A member of the Washington, DC bar, his work has appeared in the University of Chicago Law Review, the University of Virginia Law Review, Northwestern University Law Review, Law & Social Inquiry, NOMOS, Supreme Court Review, the Journal of Supreme Court History, the Green Bag, and other law reviews and journals. He has contributed to multiple edited collections.","[[('Rosenberg', 'PERSON')], [('Oxford University', 'ORG'), ('the University of Michigan', 'ORG'), ('Yale University', 'ORG')], [('Washington', 'GPE'), ('the University of Chicago Law Review', 'ORG'), ('the University of Virginia Law Review', 'ORG'), ('Northwestern University Law Review, Law & Social Inquiry', 'ORG'), ('NOMOS', 'ORG'), ('Supreme Court Review', 'ORG'), ('the Journal of Supreme Court History', 'ORG')], []]",the Journal of Supreme Court History
William Sewell,https://history.uchicago.edu/directory/william-h-sewell-jr,https://socialsciences.uchicago.edu/directory/william-sewell,University of California,"[[('University of California', 'ORG')]]",University of California
Duncan Snidal,https://political-science.uchicago.edu/directory/duncan-snidal,https://socialsciences.uchicago.edu/directory/duncan-snidal,Still Working on This,[[]],University of California
William Goldstein,https://psychology.uchicago.edu/directory/william-goldstein,https://socialsciences.uchicago.edu/directory/william-goldstein,Still Working on This,[[]],University of California
Jerre Levy,https://psychology.uchicago.edu/directories/full/emeritus%20faculty,https://socialsciences.uchicago.edu/directory/jerre-levy,Still Working on This,[[]],University of California
Frederick Lighthall,No Link,https://socialsciences.uchicago.edu/directory/frederick-lighthall,Still Working on This,[[]],University of California
Martha K. McClintock,https://psychology.uchicago.edu/directory/martha-k-mcclintock-0,https://socialsciences.uchicago.edu/directory/martha-k-mcclintock,Still Working on This,[[]],University of California
Glenn McNeill,http://mcneilllab.uchicago.edu/members/McNeill.html,https://socialsciences.uchicago.edu/directory/glenn-mcneill,Still Working on This,[[]],University of California
Nancy Lou Stein,https://psychology.uchicago.edu/directory/nancy-l-stein,https://socialsciences.uchicago.edu/directory/nancy-lou-stein,Still Working on This,[[]],University of California
Leon R. Kass,https://socialthought.uchicago.edu/directory/leon-r-kass,https://socialsciences.uchicago.edu/directory/leon-r-kass,Still Working on This,[[]],University of California
Ralph M. Lerner,https://socialthought.uchicago.edu/directory/ralph-lerner,https://socialsciences.uchicago.edu/directory/ralph-m-lerner,Still Working on This,[[]],University of California
James M. Redfield,https://socialthought.uchicago.edu/directory/james-m-redfield,https://socialsciences.uchicago.edu/directory/james-m-redfield,Still Working on This,[[]],University of California
Edward O. Laumann,https://sociology.uchicago.edu/content/edward-o-laumann,https://socialsciences.uchicago.edu/directory/edward-o-laumann,"Edward O. Laumann is the George Herbert Mead Distinguished Service Professor in the Department of Sociology at the University of Chicago. Laumann was born in Youngstown, Ohio in 1938 and earned his Ph.D. in Sociology from HarvardUniversity in 1964. He came to the University of Chicago in 1973 by way of the University of Michigan, where he was hired as an Assistant Professor right after graduation. Laumann served as the chair of the Department of Sociology and the Dean of the Social Sciences before being named the eighth Provost of the University of Chicago in 1992. He has served as the Director of NORC's Ogburn-Stouffer Center for the Study of Social Organizations and as Chairman of the NORC Board of Trustees.","[[('Edward O. Laumann', 'PERSON'), ('the Department of Sociology', 'ORG'), ('the University of Chicago', 'ORG')], [('Laumann', 'PERSON'), ('Youngstown', 'GPE'), ('Ohio', 'GPE'), ('1938', 'DATE'), ('Ph.D.', 'WORK_OF_ART'), ('HarvardUniversity', 'ORG'), ('1964', 'DATE')], [('the University of Chicago', 'ORG'), ('1973', 'DATE'), ('the University of Michigan', 'ORG')], [('Laumann', 'PERSON'), ('the Department of Sociology', 'ORG'), ('the Social Sciences', 'ORG'), ('eighth', 'ORDINAL'), ('the University of Chicago', 'ORG'), ('1992', 'DATE')], [('NORC', 'ORG'), ('Ogburn-Stouffer Center for the Study of Social Organizations', 'ORG'), ('the NORC Board of Trustees', 'ORG')]]",the NORC Board of Trustees
William Parish,https://sociology.uchicago.edu/content/emeriti-faculty,https://socialsciences.uchicago.edu/directory/william-parish,Still Working on This,[[]],University of California
Dingxin Zhao,https://sociology.uchicago.edu/directory/dingxin-zhao,https://socialsciences.uchicago.edu/directory/dingxin-zhao,Still Working on This,[[]],University of California
William Mazzarella,https://anthropology.uchicago.edu/people/faculty/william-mazzarella,https://socialsciences.uchicago.edu/directory/william-mazzarella,University of California,"[[('University of California', 'ORG')]]",University of California
Richard Shweder,https://humdev.uchicago.edu/directory/richard-shweder,https://socialsciences.uchicago.edu/directory/richard-shweder,"Richard A. Shweder is a cultural anthropologist and the Harold H. Swift Distinguished Service Professor of Human Development. He received his Ph.D. degree in social anthropology in the Department of Social Relations at Harvard University in 1972, taught a year at the University of Nairobi in Kenya and has been at the University of Chicago ever since.","[[('Richard A. Shweder', 'PERSON'), ('Harold H. Swift', 'PERSON')], [('Ph.D.', 'WORK_OF_ART'), ('the Department of Social Relations', 'ORG'), ('Harvard University', 'ORG'), ('1972', 'DATE'), ('taught a year', 'DATE'), ('the University of Nairobi', 'ORG'), ('Kenya', 'GPE'), ('the University of Chicago', 'ORG')]]",the University of Chicago
Lars Peter Hansen,https://economics.uchicago.edu/directory/lars-peter-hansen,https://socialsciences.uchicago.edu/directory/lars-peter-hansen,University of MInnesota,"[[('University of MInnesota', 'ORG')]]",University of MInnesota
Ali Hortaçsu,https://economics.uchicago.edu/directory/ali-hortacsu,https://socialsciences.uchicago.edu/directory/ali-hortacsu,Stanford University,"[[('Stanford University', 'ORG')]]",Stanford University
Susan L. Burns,https://history.uchicago.edu/directory/susan-l-burns,https://socialsciences.uchicago.edu/directory/susan-l-burns,University of Chicago,"[[('University of Chicago', 'ORG')]]",University of Chicago
Dipesh Chakrabarty,https://history.uchicago.edu/directory/dipesh-chakrabarty,https://socialsciences.uchicago.edu/directory/dipesh-chakrabarty,Australian National University,"[[('Australian National University', 'ORG')]]",Australian National University
Paul B. Cheney,https://history.uchicago.edu/directory/paul-cheney,https://socialsciences.uchicago.edu/directory/paul-b-cheney,Columbia University,"[[('Columbia University', 'ORG')]]",Columbia University
Bruce Cumings,https://history.uchicago.edu/directory/bruce-cumings,https://socialsciences.uchicago.edu/directory/bruce-cumings,Columbia University,"[[('Columbia University', 'ORG')]]",Columbia University
Cornell Fleischer,https://history.uchicago.edu/directory/cornell-h-fleischer,https://socialsciences.uchicago.edu/directory/cornell-fleischer-0,Princeton University,"[[('Princeton University', 'ORG')]]",Princeton University
John P. McCormick,https://political-science.uchicago.edu/directory/john-mccormick,https://socialsciences.uchicago.edu/directory/john-p-mccormick,D Chicago,"[[('Chicago', 'GPE')]]",University of California
John J. Mearsheimer,https://political-science.uchicago.edu/directory/john-mearsheimer,https://socialsciences.uchicago.edu/directory/john-j-mearsheimer,"John J. Mearsheimer is the R. Wendell Harrison Distinguished Service Professor of Political Science at the University of Chicago, where he has taught since 1982. He graduated from West Point in 1970 and then served five years as an officer in the U.S. Air Force. He then started graduate school in political science at Cornell University in 1975. He received his PhD in 1980. He spent the 1979-1980 academic year as a research fellow at the Brookings Institution, and was a post-doctoral fellow at Harvard University's Center for International Affairs from 1980 to 1982. During the 1998-1999 academic year, he was the Whitney H. Shepardson Fellow at the Council on Foreign Relations in New York.","[[('John J. Mearsheimer', 'PERSON'), ('R. Wendell Harrison Distinguished', 'PERSON'), ('the University of Chicago', 'ORG'), ('1982', 'DATE')], [('West Point', 'LOC'), ('1970', 'DATE'), ('five years', 'DATE'), ('the U.S. Air Force', 'ORG')], [('Cornell University', 'ORG'), ('1975', 'DATE')], [('PhD', 'WORK_OF_ART'), ('1980', 'DATE')], [('1979-1980', 'DATE'), ('the Brookings Institution', 'ORG'), (""Harvard University's"", 'ORG'), ('Center for International Affairs', 'ORG'), ('1980 to 1982', 'DATE')], [('1998-1999', 'DATE'), ('Whitney H. Shepardson Fellow', 'FAC'), ('the Council on Foreign Relations', 'ORG'), ('New York', 'GPE')]]",the Council on Foreign Relations
Eric Oliver,https://political-science.uchicago.edu/directory/eric-oliver,https://socialsciences.uchicago.edu/directory/eric-oliver,D California,"[[('California', 'GPE')]]",University of California
Daniel Margoliash,https://psychology.uchicago.edu/directory/daniel-margoliash,https://socialsciences.uchicago.edu/directory/daniel-margoliash,Still Working on This,[[]],University of California
Brian J. Prendergast,https://psychology.uchicago.edu/directory/brian-j-prendergast,https://socialsciences.uchicago.edu/directory/brian-j-prendergast,"Williams College, Williamstown, Massachusetts
	B.A., Psychology, 1993","[[('Williams College', 'PERSON'), ('Williamstown', 'GPE'), ('Massachusetts', 'GPE')]]",University of California
Rosanna  Warren,https://socialthought.uchicago.edu/directory/rosanna-warren,https://socialsciences.uchicago.edu/directory/rosanna-warren,"Rosanna Warren is an acclaimed poet, whose research interests include translation, literary biography, literature and the visual arts, and relations between classical and modern literature. Warren studied painting and comparative literature at Yale University, graduating in 1976. After several years of writing, painting, and odd jobs in Paris, Venice, and New York, she attended the Writing Seminars at Johns Hopkins University, receiving her M.A. degree in 1980. She taught for one year in the Department of English at Vanderbilt University and then joined the faculty of Boston University, where she taught in the University Professors Program, as well as the departments of English and Modern Foreign Languages, until her departure in 2011. She also taught for several years in several medium security prisons in Massachusetts and published pamphlets of poems by prisoners. Since 2012 she has been the Hanna Holborn Gray Distinguished Service Professor in the Committee on Social Thought at the University of Chicago. ","[[('Rosanna Warren', 'PERSON')], [('Warren', 'PERSON'), ('Yale University', 'ORG'), ('1976', 'DATE')], [('several years', 'DATE'), ('Paris', 'GPE'), ('Venice', 'GPE'), ('New York', 'GPE'), ('the Writing Seminars', 'LOC'), ('Johns Hopkins University', 'ORG'), ('M.A.', 'GPE'), ('1980', 'DATE')], [('one year', 'DATE'), ('the Department of English at Vanderbilt University', 'ORG'), ('Boston University', 'ORG'), ('the University Professors Program', 'ORG'), ('English', 'LANGUAGE'), ('Modern Foreign Languages', 'ORG'), ('2011', 'DATE')], [('several years', 'DATE'), ('Massachusetts', 'GPE')], [('2012', 'DATE'), ('the Hanna Holborn Gray Distinguished Service', 'FAC'), ('the Committee on Social Thought', 'ORG'), ('the University of Chicago', 'ORG')]]",the University of Chicago
Julian Go,https://sociology.uchicago.edu/directory/julian-go,https://socialsciences.uchicago.edu/directory/julian-go,Still Working on This,[[]],University of California
John Levi Martin,https://sociology.uchicago.edu/directory/john-levi-martin,https://socialsciences.uchicago.edu/directory/john-levi-martin,University of California,"[[('University of California', 'ORG')]]",University of California
